county,population,2011-2015,2010-2014,2009-2013,2008-2012,2007-2011,2006-2010,2005-2009,2004-2008,2003-2007
Adair,7543,15.9027128157,13.2575757576,16.3147792706,17.1265461465,20.4460966543,22.8070175439,25.6198347107,22.0994475138,23.0061349693
Adams,3937,17.7619893428,17.9738562092,24.5398773006,23.7037037037,24.6020260492,34.6820809249,37.9562043796,27.9001468429,30.3907380608
Allamakee,14152,31.5682281059,28.8508557457,32.9102021627,35.7627885921,38.4111741598,36.5646258503,38.5412349772,35.0947962888,33.9250493097
Appanoose,12754,36.5926814637,40.3225806452,44.4197667962,49.9474237645,49.0981963928,51.3928914505,51.5799256506,49.5495495495,45.8756065285
Audubon,5935,24.1448692153,23.0547550432,22.7057710501,29.0806754221,30.5838739574,27.8810408922,27.7520814061,34.9462365591,31.0880829016
Benton,25895,15.2859960552,15.2394775036,16.897441915,17.3357664234,18.6252771619,18.6753528773,18.2012847966,18.1268882175,16.1607337847
Black Hawk,131947,19.7980754062,22.4382656037,24.3521935999,25.7314328582,27.5688294364,28.7677272393,28.7661695189,29.4659300184,30.1324503311
Boone,26326,21.1193241816,21.875,24.8382923674,28.6729256534,29.3320187331,30.0120048019,31.7422995533,28.4590467376,28.9821469974
Bremer,24481,6.85566055216,7.72911299227,9.40785832872,10.9158186864,11.4644970414,12.1110490032,11.4878636279,11.390777145,10.0163904571
Buchanan,20947,18.9030058878,21.1526670754,22.1822541966,24.9492312155,25.2196089544,24.0156380899,24.8769819574,27.0632368703,27.6679841897
Buena Vista,20460,38.61003861,44.028340081,45.3865336658,48.5870104115,44.8275862069,46.2370880472,44.0127858372,43.5841246652,39.9422521655
Butler,14966,13.6857008023,14.0778977006,15.3846153846,16.1290322581,17.9533213645,19.6506550218,23.6986881083,23.7413016783,23.0117077109
Calhoun,9980,20.9677419355,24.1809672387,29.7256097561,29.0611028316,29.3696275072,30.1369863014,29.702970297,27.7427490542,27.4626865672
Carroll,20702,23.7425804436,23.8454572895,25.3792298716,25.4067941764,23.7430167598,24.9031543996,25.389025389,25.4282655246,22.8274967575
Cass,13694,21.978021978,29.3803418803,33.0957230143,36.6389838788,38.1176470588,42.1545667447,40.227165168,33.9063992359,29.7731568998
Cedar,18434,14.6086956522,15.6033287101,15.1671837297,16.0300136426,16.66099966,19.0346702923,18.9133425034,20.4506065858,19.3389592124
Cerro Gordo,43707,20.5073674616,22.2222222222,24.8017303533,25.5319148936,29.4365012616,29.6462033282,30.8185748152,31.0088202867,32.4949014276
