"",Reporting precincts,Total Precincts,Grassley,Judge,Aldrich,Hennager,Luick-Thrams,Write-in,winner
Adair,6,6,2708,894,111,46,11,2,Grassley
Adams,6,6,1514,454,58,25,9,1,Grassley
Allamakee,12,12,4450,2089,167,61,24,1,Grassley
Appanoose,13,13,4120,1690,121,55,18,6,Grassley
Audubon,3,3,2321,847,70,35,7,0,Grassley
Benton,20,20,9344,3804,355,134,26,8,Grassley
Black Hawk,63,63,33755,27061,1633,548,140,59,Grassley
Boone,16,16,8564,4800,454,142,34,12,Grassley
Bremer,14,14,8582,4357,334,100,28,13,Grassley
Buchanan,16,16,6376,3309,298,121,28,7,Grassley
Buena Vista,11,11,5360,2378,210,71,13,4,Grassley
Butler,9,9,5429,1780,145,81,16,6,Grassley
Calhoun,11,11,3794,1153,119,32,10,5,Grassley
Carroll,14,14,7249,2711,244,104,18,3,Grassley
Cass,14,14,5074,1552,161,103,21,5,Grassley
Cedar,13,13,6077,2893,268,90,30,9,Grassley
Cerro Gordo,27,27,13371,8149,587,273,157,21,Grassley
Cherokee,8,8,4664,1328,128,44,16,4,Grassley
Chickasaw,14,14,4173,1955,153,73,22,1,Grassley
Clarke,8,8,2897,1271,118,72,12,6,Grassley
Clay,13,13,6251,1892,226,61,25,5,Grassley
Clayton,15,15,5850,2779,175,190,16,1,Grassley
Clinton,27,27,12795,8835,582,445,37,15,Grassley
Crawford,9,9,4663,1770,179,74,17,3,Grassley
Dallas,35,35,24314,11843,1071,314,102,35,Grassley
Davis,9,9,2748,970,82,23,13,3,Grassley
Decatur,8,8,2488,1037,91,45,15,5,Grassley
Delaware,13,13,6443,2368,191,160,15,0,Grassley
Des Moines,17,17,10353,7588,475,186,40,26,Grassley
Dickinson,15,15,7477,2416,203,85,30,6,Grassley
Dubuque,36,36,27259,19229,1257,414,132,46,Grassley
Emmet,12,12,3338,1170,83,108,7,1,Grassley
Fayette,26,26,6412,3069,216,220,17,13,Grassley
Floyd,9,9,4945,2723,181,97,21,5,Grassley
Franklin,13,13,3538,1169,150,50,16,2,Grassley
Fremont,6,6,2574,733,120,54,13,1,Grassley
Greene,8,8,3194,1342,123,61,13,5,Grassley
Grundy,8,8,5246,1365,127,95,11,4,Grassley
Guthrie,9,9,4004,1413,225,55,21,6,Grassley
Hamilton,9,9,5128,2163,186,94,20,6,Grassley
Hancock,1,11,1143,534,37,16,7,1
Hardin,9,9,5812,2273,234,80,21,4,Grassley
Harrison,14,14,5094,1785,246,119,27,8,Grassley
Henry,10,10,6279,2531,247,109,26,13,Grassley
Howard,10,10,2859,1459,129,50,11,2,Grassley
Humboldt,10,10,3856,999,110,44,18,6,Grassley
Ida,8,8,2867,590,78,24,7,4,Grassley
Iowa,12,12,6048,2430,208,82,22,4,Grassley
Jackson,17,17,6281,3449,211,81,26,5,Grassley
Jasper,21,21,11688,6170,525,421,31,20,Grassley
Jefferson,13,13,4084,3440,270,73,31,19,Grassley
Johnson,58,58,28833,42469,1878,824,377,123,Judge
Jones,15,15,6544,3058,261,172,18,6,Grassley
Keokuk,16,16,3692,1043,109,42,16,3,Grassley
Kossuth,21,21,6012,2233,113,155,24,5,Grassley
Lee,23,23,8402,6356,500,472,25,19,Grassley
Linn,87,87,62456,47236,3782,987,303,124,Grassley
Louisa,6,6,3302,1429,146,43,11,7,Grassley
Lucas,8,8,3061,1066,99,37,8,0,Grassley
Lyon,9,9,5322,758,107,44,11,3,Grassley
Madison,10,10,5891,2198,276,89,18,8,Grassley
Mahaska,12,12,7782,2291,246,88,27,5,Grassley
Marion,18,18,12384,4551,426,164,44,13,Grassley
Marshall,20,20,10410,6555,480,182,49,10,Grassley
Mills,12,12,5267,1735,257,93,30,10,Grassley
Mitchell,12,12,3682,1540,102,46,11,4,Grassley
Monona,12,12,3310,1047,107,46,9,4,Grassley
Monroe,8,8,2458,1280,75,16,7,1,Grassley
Montgomery,8,8,3642,1065,147,68,16,4,Grassley
Muscatine,24,24,11157,6963,543,371,41,20,Grassley
O'Brien,10,10,6057,1060,107,37,15,7,Grassley
Osceola,9,9,2601,455,53,21,10,3,Grassley
Page,9,9,5189,1456,174,61,11,4,Grassley
Palo Alto,7,7,3377,1109,83,73,9,2,Grassley
Plymouth,14,14,10317,2293,233,74,20,3,Grassley
Pocahontas,8,8,2881,784,96,41,11,1,Grassley
Polk,178,178,118062,100204,6586,2166,784,360,Grassley
Pottawattamie,41,41,25709,12935,1263,1333,148,57,Grassley
Poweshiek,11,11,5606,3717,243,86,28,7,Grassley
Ringgold,8,8,1987,616,54,20,5,1,Grassley
Sac,10,10,3956,1013,97,37,11,6,Grassley
Scott,64,64,46331,34375,2714,626,239,192,Grassley
Shelby,10,10,4456,1399,151,51,12,4,Grassley
Sioux,17,17,15876,1697,225,72,16,7,Grassley
Story,44,44,25020,20934,1622,445,190,61,Grassley
Tama,17,17,5531,2768,204,191,10,12,Grassley
Taylor,8,8,2220,613,70,29,7,2,Grassley
Union,9,9,3908,1624,140,79,16,2,Grassley
Van Buren,9,9,2614,762,76,64,5,4,Grassley
Wapello,23,23,8685,5362,352,337,27,17,Grassley
Warren,32,32,17030,8669,760,231,78,25,Grassley
Washington,11,11,7246,3058,343,83,28,10,Grassley
Wayne,5,5,2195,645,56,28,4,1,Grassley
Webster,29,29,11034,5388,415,222,65,16,Grassley
Winnebago,11,11,3924,1583,153,62,15,2,Grassley
Winneshiek,12,12,6331,4424,295,96,36,5,Grassley
Woodbury,45,45,27159,13902,1015,790,95,37,Grassley
Worth,8,8,2774,1245,120,71,8,3,Grassley
Wright,11,11,4208,1550,168,39,12,4,Grassley
